source_file,year,objective,donor,recipient_scope,sector_scope,allocable_scope,marker,amount_type,unit,principal,significant,screened_not_targeted,not_screened,climate_targeted_total_usd_millions_2019,all_screened_total_usd_millions_2019
2016Mitigation.xls,2016,Mitigation,Denmark,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",41.106301,65.365287,854.973589,116.237867,106.471588,1077.6830439999999
2016Mitigation.xls,2016,Mitigation,Finland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",3.082943,17.112018,294.450176,3.097627,20.194961,317.74276399999997
2016Mitigation.xls,2016,Mitigation,France,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",1904.94876,104.83107,3360.720417,1321.03086,2009.77983,6691.531107
2016Mitigation.xls,2016,Mitigation,Germany,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",3465.639628,2287.287648,10654.329983,1053.289228,5752.927276,17460.546487
2016Mitigation.xls,2016,Mitigation,Greece,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",,0.973173,2.355484,8.107676,0.973173,11.436333
2016Mitigation.xls,2016,Mitigation,Hungary,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",,,,48.074773,,48.074773
2016Mitigation.xls,2016,Mitigation,Iceland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",4.055758,0.797002,18.090702,7.509624,4.85276,30.453086
2016Mitigation.xls,2016,Mitigation,Ireland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",14.407258,34.585317,213.648028,149.421904,48.992575,412.062507
2016Mitigation.xls,2016,Mitigation,Italy,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",9.714229,65.781474,572.029252,74.568404,75.495703,722.0933590000001
2016Mitigation.xls,2016,Mitigation,Japan,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",726.838619,6714.579993,11462.175422,808.163578,7441.418612,19711.757612
2016Mitigation.xls,2016,Mitigation,Korea,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",8.825823,56.022535,2310.511754,3.990658,64.84835799999999,2379.3507700000005
2016Mitigation.xls,2016,Mitigation,Luxembourg,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",0.291239,33.305592,244.628357,,33.596830999999995,278.225188
2016Mitigation.xls,2016,Mitigation,Netherlands,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",44.005654,192.349939,2544.429156,,236.355593,2780.7847490000004
2016Mitigation.xls,2016,Mitigation,New Zealand,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",5.115782,10.659417,343.682647,,15.775199,359.45784599999996
2016Mitigation.xls,2016,Mitigation,Norway,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",398.360781,112.775903,2029.502233,,511.13668399999995,2540.6389169999998
2016Mitigation.xls,2016,Mitigation,Poland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",0.317367,1.225259,155.969762,,1.542626,157.51238800000002
2016Mitigation.xls,2016,Mitigation,Portugal,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",1.851598,0.325388,137.783533,,2.1769860000000003,139.960519
2016Mitigation.xls,2016,Mitigation,Slovak Republic,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",0.033382,,24.528783,0.794714,0.033382,25.356879
2016Mitigation.xls,2016,Mitigation,Slovenia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",0.362189,0.405258,4.745088,9.320855,0.767447,14.83339
2016Mitigation.xls,2016,Mitigation,Spain,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",4.26046,13.497685,595.330656,0.062824,17.758145,613.151625
2016Mitigation.xls,2016,Mitigation,Sweden,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",118.064636,201.687556,1662.46399,184.880071,319.752192,2167.0962529999997
2016Mitigation.xls,2016,Mitigation,Switzerland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",59.389215,131.575666,1354.855499,,190.96488100000002,1545.8203800000001
2016Mitigation.xls,2016,Mitigation,United Kingdom,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",323.502381,294.973217,6072.769539,34.574964,618.475598,6725.820101
2016Mitigation.xls,2016,Mitigation,United States,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",1310.77154,110.553014,27871.573136,,1421.324554,29292.897689999998
2016Mitigation.xls,2016,Mitigation,EU Institutions,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",580.932931,3190.590915,19193.570345,,3771.523846,22965.094191
2016Mitigation.xls,2016,Mitigation,Data extracted on 16 Jun 2021 02:42 UTC (GMT) from OECD.Stat,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",,,,,,
